seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
NC_020383.1||full	0.76	0.0	0.76	dsDNAphage	81727	0	30.0	15.0	81727	103	2	14	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_020381.1||full	0.98	0.0	0.98	dsDNAphage	39746	5	42.2	11.1	39746	45	5	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_021496.1||full	1.0	0.053	1.0	dsDNAphage	39932	12	65.4	1.9	39932	52	28	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP007043.1||full	0.553	0.993	0.993	ssDNA	1278	0	50.0	0.0	1278	2	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP017724.1||full	0.96	0.013	0.96	dsDNAphage	106341	13	55.3	4.5	106341	132	44	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_022782.1||full	0.633	0.0	0.633	dsDNAphage	76974	0	8.3	0.0	76974	94	3	21	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_022874.1||full	0.993	0.02	0.993	dsDNAphage	45171	10	66.7	5.6	45171	54	18	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_022876.1||full	0.6	0.0	0.6	dsDNAphage	144198	0	30.8	23.1	144198	170	2	50	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_022882.1||full	0.673	0.0	0.673	dsDNAphage	240386	0	37.5	18.8	240386	289	7	68	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_022901.1||full	0.94	0.0	0.94	dsDNAphage	36860	16	42.6	25.5	36860	47	23	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_023031.1||full	0.973	0.0	0.973	dsDNAphage	113863	9	40.9	7.1	113863	127	29	10	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_019985.2||full	0.873	0.0	0.873	dsDNAphage	42095	2	18.6	20.3	42095	54	1	16	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_023143.1||full	0.987	0.0	0.987	dsDNAphage	39987	7	45.1	7.8	39987	51	20	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NC_023147.1||full	0.767	0.14	0.767	dsDNAphage	9629	0	4.5	0.0	9629	22	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP007000.1||full	0.98	0.007	0.98	dsDNAphage	91129	5	32.8	4.9	91129	122	11	8	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP007157.1||full	1.0	0.013	1.0	dsDNAphage	41697	10	41.4	1.7	41697	58	24	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP003712.1||full	0.947	0.0	0.947	dsDNAphage	36821	16	41.7	25.0	36821	48	23	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP003718.1||full	0.94	0.0	0.94	dsDNAphage	36703	17	42.9	24.5	36703	49	24	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP007143.1||full	0.833	0.0	0.833	dsDNAphage	41460	2	26.8	14.6	41460	41	3	2	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP007126.1||full	0.62	0.133	0.62	dsDNAphage	8751	0	33.3	0.0	8751	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP015728.1||full	0.913	0.0	0.913	dsDNAphage	69931	13	40.0	15.6	69931	90	27	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP004882.1||full	0.993	0.127	0.993	dsDNAphage	14378	4	73.9	8.7	14378	23	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP004883.1||full	0.627	0.087	0.627	dsDNAphage	14721	0	14.8	0.0	14721	27	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP004871.1||full	1.0	0.027	1.0	dsDNAphage	46631	13	57.1	2.9	46631	70	37	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP008844.1||full	0.993	0.013	0.993	dsDNAphage	54858	14	84.5	3.4	54858	58	30	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP007162.1||full	0.947	0.16	0.947	dsDNAphage	12061	1	11.5	3.8	12061	26	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP008954.1||full	0.92	0.0	0.92	dsDNAphage	92537	2	20.6	3.8	92537	131	17	5	Yes	87273.0	5264.0	viral,host	87273,5264	1-87273,87274-92537	1-125,126-131	17,0	3,2
NZ_CP008945.1||full	0.987	0.0	0.987	dsDNAphage	47446	9	46.3	18.5	47446	54	21	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP011053.1||full	0.527	0.0	0.527	dsDNAphage	302539	0	12.5	8.3	302539	360	3	140	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009073.1||full	1.0	0.007	1.0	dsDNAphage	48485	15	64.3	11.4	48485	70	35	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009263.1||full	0.533	0.013	0.533	dsDNAphage	5546	0	30.0	20.0	5546	10	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009216.1||full	0.987	0.047	0.987	dsDNAphage	47874	6	33.8	4.1	47874	74	20	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012510.1||full	0.893	0.0	0.893	dsDNAphage	51470	8	47.2	22.7	51470	53	14	7	Yes	45072.0	6398.0	viral,host	45072,6398	1-45072,45073-51470	1-47,48-53	14,0	5,2
NZ_CP012512.1||full	0.893	0.013	0.893	dsDNAphage	33386	7	47.1	11.8	33386	51	8	3	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012414.1||full	0.753	0.0	0.753	dsDNAphage	38184	3	29.4	41.2	38184	42	6	11	Yes	12815.0	25369.0	viral,host,viral	9671,25369,3144	1-9671,9672-35040,35041-38184	1-13,14-39,40-42	3,0,3	2,9,0
NZ_CP012417.1||full	0.973	0.007	0.973	dsDNAphage	31879	8	48.9	15.5	31879	45	13	6	Yes	19282.0	12597.0	viral,host,viral	8814,12597,10468	1-8814,8815-21411,21412-31879	1-19,20-35,36-45	7,0,6	1,5,0
NZ_CP007648.1||full	0.98	0.007	0.98	dsDNAphage	128495	9	37.3	3.3	128495	152	35	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP008812.1||full	0.793	0.0	0.793	dsDNAphage	27122	1	30.8	23.1	27122	36	1	11	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP008931.1||full	0.967	0.007	0.967	dsDNAphage	111451	13	53.8	9.2	111451	119	33	4	Yes	105380.0	6071.0	viral,host	105380,6071	1-105380,105381-111451	1-116,117-119	33,0	2,2
NZ_CP009619.1||full	0.9	0.0	0.9	dsDNAphage	363447	3	11.1	11.9	363447	459	16	33	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009882.1||full	0.947	0.0	0.947	dsDNAphage	87165	8	37.8	12.2	87165	98	17	4	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009861.1||full	0.993	0.033	0.993	dsDNAphage	47307	12	61.8	10.3	47307	68	33	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009878.1||full	0.993	0.007	0.993	dsDNAphage	51571	14	83.9	3.6	51571	56	29	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009939.1||full	0.98	0.007	0.98	dsDNAphage	52110	13	60.2	7.2	52110	83	36	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP006904.1||full	0.993	0.02	0.993	dsDNAphage	40139	8	54.0	3.2	40139	63	23	1	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP006906.1||full	0.967	0.0	0.967	dsDNAphage	185356	27	37.2	2.8	185356	215	19	6	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010096.1||full	0.973	0.133	0.973	dsDNAphage	14397	4	73.9	8.7	14397	23	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010097.1||full	0.593	0.06	0.593	dsDNAphage	12866	0	4.3	0.0	12866	23	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010095.1||full	1.0	0.027	1.0	dsDNAphage	46976	13	60.6	2.8	46976	71	40	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010365.1||full	0.807	0.0	0.807	dsDNAphage	64236	0	28.6	7.1	64236	85	1	16	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009276.1||full	0.993	0.02	0.993	dsDNAphage	54017	14	81.8	5.5	54017	55	29	0	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010370.2||full	0.667	0.0	0.667	dsDNAphage	47192	2	16.1	29.0	47192	56	1	16	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010379.1||full	0.72	0.0	0.72	dsDNAphage	43621	0	20.0	10.0	43621	51	1	11	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010386.1||full	0.973	0.007	0.973	dsDNAphage	121660	13	55.6	11.1	121660	144	44	12	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010398.1||full	0.967	0.0	0.967	dsDNAphage	114845	9	41.4	7.8	114845	128	29	12	No	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP006473.1||full	0.993	0.153	0.993	dsDNAphage	7330	1	42.9	0.0	7330	7	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
